cole_dept;punt_mate
5;61
5;45
5;58
5;41
5;41
5;40
5;59
5;63
5;48
5;48
5;64
5;50
5;78
5;54
5;100
5;37
5;69
5;64
5;38
5;67
5;69
5;67
5;74
5;41
5;34
5;58
5;61
5;72
5;52
5;30
5;61
5;40
5;52
5;50
5;48
5;48
5;44
5;53
5;52
5;45
5;39
5;51
5;62
5;35
5;49
5;56
5;36
5;40
5;68
5;65
5;55
5;56
5;60
5;60
5;61
5;53
5;58
5;70
5;28
5;44
5;56
5;51
5;48
5;44
5;47
5;54
5;61
5;39
5;49
5;77
5;54
5;32
5;39
5;46
5;51
5;50
5;43
5;41
5;60
5;59
5;51
5;68
5;57
5;70
5;32
5;43
5;36
5;51
5;45
5;52
5;25
5;31
5;40
5;42
5;69
5;52
5;55
5;41
5;36
5;66
5;60
5;37
5;31
5;45
5;44
5;46
5;47
5;68
5;39
5;61
5;50
5;42
5;45
5;50
5;44
5;35
5;62
5;43
5;58
5;47
5;55
5;55
5;36
5;61
5;48
5;29
5;37
5;48
5;54
5;76
5;62
5;45
5;55
5;71
5;59
5;51
5;63
5;34
5;44
5;54
5;62
5;55
5;52
5;34
5;34
5;70
5;68
5;49
5;59
5;52
5;32
5;65
5;47
5;72
5;37
5;48
5;47
5;38
5;72
5;43
5;71
5;54
5;47
5;53
5;59
5;59
5;52
5;53
5;56
5;54
5;57
5;64
5;44
5;46
5;39
5;42
5;58
5;23
5;61
5;72
5;55
5;71
5;74
5;53
5;59
5;61
5;59
5;82
5;57
5;51
5;68
5;34
5;26
5;44
5;56
5;48
5;41
5;65
5;52
5;56
5;48
5;55
5;63
5;43
5;59
5;33
5;53
5;67
5;45
5;43
5;53
5;48
5;58
5;48
5;62
5;53
5;45
5;61
5;21
5;53
5;35
5;66
5;48
5;44
5;33
5;31
5;73
5;60
5;50
5;56
5;35
5;60
5;39
5;45
5;67
5;67
5;53
5;27
5;55
5;47
5;56
5;45
5;55
5;47
5;66
5;39
5;43
5;32
5;64
5;64
5;57
5;69
5;69
5;56
5;61
5;52
5;60
5;38
5;56
5;74
5;58
5;57
5;73
5;55
5;66
5;41
5;66
5;49
5;62
5;60
5;45
5;43
5;37
5;63
5;50
5;36
5;76
5;41
5;53
5;41
5;51
5;23
5;51
5;36
5;44
5;37
5;50
5;53
5;75
5;54
5;46
5;52
5;60
5;47
5;37
5;60
5;60
5;62
5;55
5;60
5;38
5;53
5;56
5;37
5;42
5;48
5;58
5;27
5;67
5;59
5;51
5;47
5;49
5;48
5;47
5;51
5;49
5;34
5;35
5;60
5;68
5;40
5;56
5;56
5;51
5;70
5;23
5;54
5;30
5;63
5;49
5;64
5;59
5;46
5;54
5;56
5;50
5;68
5;44
5;56
5;58
5;42
5;40
5;62
5;69
5;51
5;77
5;68
5;61
5;49
5;52
5;61
5;30
5;60
5;65
5;58
5;55
5;43
5;37
5;56
5;53
5;54
5;51
5;73
